Fecha;Cobros;Pagos_Operativos;Pagos_Programados;Flujo_Caja;Saldo_Bancario
2021-02-17;3.111,80 €;13.705,22 €;0,00 €;-10.593,42 €;3.925.021,55 €
2021-02-18;3.339,46 €;16.940,26 €;0,00 €;-13.600,81 €;3.911.420,74 €
2021-02-19;3.033,79 €;12.974,85 €;0,00 €;-9.941,06 €;3.901.479,68 €
2021-02-20;3.144,56 €;17.406,34 €;0,00 €;-14.261,78 €;3.887.217,89 €
2021-02-21;3.315,64 €;14.950,06 €;0,00 €;-11.634,41 €;3.875.583,48 €
2021-02-22;2.271,42 €;13.257,10 €;0,00 €;-10.985,68 €;3.864.597,80 €
2021-02-23;2.840,16 €;13.984,09 €;0,00 €;-11.143,92 €;3.853.453,88 €
2021-02-24;2.764,81 €;13.797,57 €;0,00 €;-11.032,76 €;3.842.421,12 €
2021-02-25;2.680,56 €;13.088,07 €;0,00 €;-10.407,51 €;3.832.013,61 €
2021-02-26;2.862,43 €;15.142,24 €;0,00 €;-12.279,81 €;3.819.733,80 €
2021-02-27;3.747,47 €;13.158,13 €;0,00 €;-9.410,66 €;3.810.323,14 €
2021-02-28;2.567,08 €;11.729,45 €;350.000,00 €;-359.162,37 €;3.451.160,78 €
2021-03-01;498.413,92 €;14.430,49 €;0,00 €;483.983,43 €;3.935.144,21 €
2021-03-02;365.856,51 €;12.295,72 €;0,00 €;353.560,80 €;4.288.705,00 €
2021-03-03;433.255,75 €;13.871,76 €;0,00 €;419.383,99 €;4.708.088,99 €
2021-03-04;458.137,65 €;13.636,35 €;0,00 €;444.501,31 €;5.152.590,30 €
2021-03-05;479.311,12 €;13.693,18 €;1.200.000,00 €;-734.382,06 €;4.418.208,24 €
2021-03-06;3.355,61 €;18.001,44 €;0,00 €;-14.645,83 €;4.403.562,41 €
2021-03-07;3.396,67 €;15.084,62 €;0,00 €;-11.687,94 €;4.391.874,47 €
2021-03-08;2.825,64 €;15.368,06 €;0,00 €;-12.542,42 €;4.379.332,05 €
2021-03-09;2.768,82 €;12.335,40 €;0,00 €;-9.566,58 €;4.369.765,47 €
2021-03-10;3.428,99 €;14.019,06 €;0,00 €;-10.590,07 €;4.359.175,40 €
2021-03-11;2.904,35 €;15.322,95 €;0,00 €;-12.418,61 €;4.346.756,80 €
2021-03-12;2.362,16 €;13.463,21 €;0,00 €;-11.101,05 €;4.335.655,75 €
2021-03-13;2.433,36 €;16.362,09 €;0,00 €;-13.928,74 €;4.321.727,01 €
2021-03-14;2.540,27 €;13.195,96 €;0,00 €;-10.655,68 €;4.311.071,33 €
2021-03-15;3.248,58 €;14.570,45 €;0,00 €;-11.321,87 €;4.299.749,46 €
2021-03-16;3.071,21 €;14.120,92 €;0,00 €;-11.049,71 €;4.288.699,75 €
2021-03-17;3.345,24 €;15.246,48 €;0,00 €;-11.901,24 €;4.276.798,51 €
2021-03-18;2.786,37 €;14.039,26 €;0,00 €;-11.252,89 €;4.265.545,62 €
2021-03-19;3.079,27 €;14.593,66 €;0,00 €;-11.514,39 €;4.254.031,23 €
2021-03-20;3.312,80 €;14.645,80 €;0,00 €;-11.333,01 €;4.242.698,22 €
2021-03-21;2.845,33 €;13.898,42 €;0,00 €;-11.053,09 €;4.231.645,13 €
2021-03-22;3.228,39 €;15.727,64 €;0,00 €;-12.499,25 €;4.219.145,87 €
2021-03-23;2.669,04 €;15.357,58 €;0,00 €;-12.688,55 €;4.206.457,33 €
2021-03-24;2.818,47 €;14.867,08 €;0,00 €;-12.048,61 €;4.194.408,72 €
2021-03-25;2.809,13 €;14.354,31 €;0,00 €;-11.545,18 €;4.182.863,54 €
2021-03-26;2.402,08 €;16.194,82 €;0,00 €;-13.792,74 €;4.169.070,80 €
2021-03-27;3.243,49 €;14.646,25 €;0,00 €;-11.402,76 €;4.157.668,04 €
2021-03-28;2.765,30 €;14.539,95 €;350.000,00 €;-361.774,66 €;3.795.893,39 €
2021-03-29;3.006,25 €;15.157,04 €;0,00 €;-12.150,79 €;3.783.742,60 €
2021-03-30;3.240,37 €;17.544,88 €;0,00 €;-14.304,51 €;3.769.438,09 €
2021-03-31;3.223,27 €;12.989,47 €;0,00 €;-9.766,20 €;3.759.671,89 €
2021-04-01;483.269,26 €;16.154,79 €;0,00 €;467.114,47 €;4.226.786,36 €
2021-04-02;445.075,73 €;12.160,24 €;0,00 €;432.915,48 €;4.659.701,84 €
2021-04-03;428.835,08 €;15.325,91 €;0,00 €;413.509,17 €;5.073.211,02 €
2021-04-04;446.014,09 €;17.362,62 €;0,00 €;428.651,47 €;5.501.862,48 €
2021-04-05;365.633,28 €;15.733,00 €;1.200.000,00 €;-850.099,72 €;4.651.762,76 €
2021-04-06;2.276,44 €;15.255,94 €;0,00 €;-12.979,49 €;4.638.783,27 €
2021-04-07;2.338,65 €;14.159,33 €;0,00 €;-11.820,68 €;4.626.962,59 €
2021-04-08;2.501,38 €;15.046,57 €;0,00 €;-12.545,19 €;4.614.417,40 €
2021-04-09;3.199,89 €;14.621,91 €;0,00 €;-11.422,02 €;4.602.995,38 €
2021-04-10;2.547,26 €;13.821,04 €;0,00 €;-11.273,77 €;4.591.721,60 €
2021-04-11;2.810,92 €;14.565,19 €;0,00 €;-11.754,27 €;4.579.967,33 €
2021-04-12;3.649,61 €;15.297,57 €;0,00 €;-11.647,96 €;4.568.319,38 €
2021-04-13;2.821,87 €;13.849,17 €;0,00 €;-11.027,31 €;4.557.292,07 €
2021-04-14;3.368,76 €;13.790,58 €;0,00 €;-10.421,82 €;4.546.870,25 €
2021-04-15;2.533,19 €;12.959,63 €;0,00 €;-10.426,44 €;4.536.443,81 €
2021-04-16;2.897,28 €;15.586,09 €;0,00 €;-12.688,81 €;4.523.755,00 €
2021-04-17;2.524,99 €;15.817,98 €;0,00 €;-13.293,00 €;4.510.462,01 €
2021-04-18;2.830,48 €;15.347,49 €;0,00 €;-12.517,01 €;4.497.945,00 €
2021-04-19;3.420,15 €;16.447,76 €;0,00 €;-13.027,60 €;4.484.917,40 €
2021-04-20;2.136,34 €;15.131,80 €;400.000,00 €;-412.995,46 €;4.071.921,94 €
2021-04-21;3.217,21 €;15.588,02 €;0,00 €;-12.370,80 €;4.059.551,13 €
2021-04-22;3.118,87 €;15.455,76 €;0,00 €;-12.336,89 €;4.047.214,24 €
2021-04-23;2.702,93 €;14.862,69 €;0,00 €;-12.159,76 €;4.035.054,48 €
2021-04-24;2.276,97 €;14.203,77 €;0,00 €;-11.926,80 €;4.023.127,68 €
2021-04-25;3.036,06 €;18.321,23 €;0,00 €;-15.285,16 €;4.007.842,52 €
2021-04-26;2.735,25 €;14.322,07 €;0,00 €;-11.586,82 €;3.996.255,70 €
2021-04-27;3.116,34 €;14.001,18 €;0,00 €;-10.884,85 €;3.985.370,85 €
2021-04-28;3.010,93 €;15.651,01 €;350.000,00 €;-362.640,09 €;3.622.730,76 €
2021-04-29;3.800,89 €;15.377,78 €;0,00 €;-11.576,89 €;3.611.153,87 €
2021-04-30;2.880,32 €;12.892,81 €;0,00 €;-10.012,49 €;3.601.141,38 €
2021-05-01;398.825,13 €;16.684,02 €;0,00 €;382.141,11 €;3.983.282,49 €
2021-05-02;458.963,78 €;14.858,71 €;0,00 €;444.105,07 €;4.427.387,56 €
2021-05-03;460.999,83 €;13.333,60 €;0,00 €;447.666,23 €;4.875.053,79 €
2021-05-04;517.959,38 €;16.783,18 €;0,00 €;501.176,20 €;5.376.230,00 €
2021-05-05;491.755,56 €;15.938,51 €;1.200.000,00 €;-724.182,95 €;4.652.047,04 €
2021-05-06;3.178,44 €;13.103,19 €;0,00 €;-9.924,75 €;4.642.122,29 €
2021-05-07;3.731,65 €;17.665,77 €;0,00 €;-13.934,12 €;4.628.188,17 €
2021-05-08;2.405,62 €;15.988,20 €;0,00 €;-13.582,58 €;4.614.605,59 €
2021-05-09;2.680,12 €;14.984,71 €;0,00 €;-12.304,58 €;4.602.301,01 €
2021-05-10;2.536,71 €;17.385,33 €;0,00 €;-14.848,62 €;4.587.452,39 €
2021-05-11;2.805,10 €;15.238,95 €;0,00 €;-12.433,85 €;4.575.018,54 €
2021-05-12;2.311,66 €;14.957,88 €;0,00 €;-12.646,22 €;4.562.372,32 €
2021-05-13;3.317,58 €;14.009,55 €;0,00 €;-10.691,97 €;4.551.680,35 €
2021-05-14;2.888,89 €;15.872,78 €;0,00 €;-12.983,89 €;4.538.696,46 €
2021-05-15;2.264,60 €;15.714,90 €;0,00 €;-13.450,31 €;4.525.246,16 €
2021-05-16;2.492,21 €;15.022,02 €;0,00 €;-12.529,81 €;4.512.716,35 €
2021-05-17;3.156,76 €;13.815,02 €;0,00 €;-10.658,26 €;4.502.058,08 €
2021-05-18;3.419,06 €;15.194,89 €;0,00 €;-11.775,83 €;4.490.282,25 €
2021-05-19;3.998,37 €;14.895,30 €;0,00 €;-10.896,94 €;4.479.385,31 €
2021-05-20;4.456,93 €;12.999,79 €;0,00 €;-8.542,86 €;4.470.842,46 €
2021-05-21;3.207,20 €;12.792,28 €;0,00 €;-9.585,08 €;4.461.257,38 €
2021-05-22;2.505,23 €;15.847,73 €;0,00 €;-13.342,50 €;4.447.914,88 €
2021-05-23;1.933,98 €;11.097,17 €;0,00 €;-9.163,19 €;4.438.751,69 €
2021-05-24;3.133,86 €;15.308,12 €;0,00 €;-12.174,26 €;4.426.577,43 €
2021-05-25;2.593,53 €;14.282,88 €;0,00 €;-11.689,35 €;4.414.888,08 €
2021-05-26;2.792,32 €;16.962,37 €;0,00 €;-14.170,05 €;4.400.718,04 €
2021-05-27;2.693,95 €;14.259,80 €;0,00 €;-11.565,85 €;4.389.152,19 €
2021-05-28;2.929,60 €;15.989,23 €;350.000,00 €;-363.059,62 €;4.026.092,57 €
2021-05-29;3.532,99 €;14.404,63 €;0,00 €;-10.871,64 €;4.015.220,93 €
2021-05-30;3.078,52 €;15.170,62 €;0,00 €;-12.092,10 €;4.003.128,83 €
2021-05-31;2.920,68 €;16.105,25 €;0,00 €;-13.184,57 €;3.989.944,26 €
2021-06-01;398.217,31 €;14.306,17 €;0,00 €;383.911,15 €;4.373.855,40 €
2021-06-02;366.265,85 €;16.494,83 €;0,00 €;349.771,02 €;4.723.626,43 €
2021-06-03;425.684,60 €;13.509,45 €;0,00 €;412.175,15 €;5.135.801,58 €
2021-06-04;447.310,87 €;15.441,89 €;0,00 €;431.868,98 €;5.567.670,56 €
2021-06-05;538.396,50 €;16.383,96 €;1.200.000,00 €;-677.987,46 €;4.889.683,10 €
2021-06-06;3.065,14 €;15.990,06 €;0,00 €;-12.924,92 €;4.876.758,18 €
2021-06-07;3.491,37 €;17.874,67 €;0,00 €;-14.383,30 €;4.862.374,88 €
2021-06-08;2.750,35 €;13.854,84 €;0,00 €;-11.104,49 €;4.851.270,39 €
2021-06-09;2.407,53 €;12.931,28 €;0,00 €;-10.523,75 €;4.840.746,64 €
2021-06-10;2.517,44 €;13.508,50 €;0,00 €;-10.991,06 €;4.829.755,59 €
2021-06-11;2.637,39 €;15.990,66 €;0,00 €;-13.353,28 €;4.816.402,31 €
2021-06-12;4.064,23 €;15.746,88 €;0,00 €;-11.682,65 €;4.804.719,66 €
2021-06-13;2.589,31 €;15.153,38 €;0,00 €;-12.564,08 €;4.792.155,58 €
2021-06-14;3.419,24 €;13.315,56 €;0,00 €;-9.896,32 €;4.782.259,26 €
2021-06-15;2.548,54 €;16.150,30 €;0,00 €;-13.601,76 €;4.768.657,50 €
2021-06-16;3.465,79 €;13.162,94 €;0,00 €;-9.697,16 €;4.758.960,34 €
2021-06-17;3.192,48 €;16.738,42 €;0,00 €;-13.545,95 €;4.745.414,39 €
2021-06-18;2.921,68 €;19.286,16 €;0,00 €;-16.364,48 €;4.729.049,92 €
2021-06-19;2.979,62 €;15.549,68 €;0,00 €;-12.570,06 €;4.716.479,86 €
2021-06-20;2.672,61 €;15.874,66 €;0,00 €;-13.202,06 €;4.703.277,80 €
2021-06-21;3.223,04 €;14.260,71 €;0,00 €;-11.037,67 €;4.692.240,13 €
2021-06-22;2.772,51 €;12.284,68 €;0,00 €;-9.512,17 €;4.682.727,96 €
2021-06-23;2.387,20 €;14.095,92 €;0,00 €;-11.708,72 €;4.671.019,23 €
2021-06-24;2.361,03 €;13.360,66 €;0,00 €;-10.999,63 €;4.660.019,61 €
2021-06-25;3.086,29 €;12.829,49 €;0,00 €;-9.743,20 €;4.650.276,41 €
2021-06-26;3.789,55 €;17.583,54 €;0,00 €;-13.793,99 €;4.636.482,41 €
2021-06-27;3.080,00 €;15.409,29 €;0,00 €;-12.329,30 €;4.624.153,11 €
2021-06-28;2.940,68 €;15.569,53 €;350.000,00 €;-362.628,85 €;4.261.524,26 €
2021-06-29;3.142,91 €;14.536,47 €;0,00 €;-11.393,55 €;4.250.130,71 €
2021-06-30;3.653,00 €;14.740,69 €;1.000.000,00 €;-1.011.087,69 €;3.239.043,02 €
2021-07-01;66.755,06 €;26.929,10 €;0,00 €;39.825,96 €;3.278.868,98 €
2021-07-02;61.712,58 €;24.935,33 €;0,00 €;36.777,26 €;3.315.646,23 €
2021-07-03;106.062,89 €;26.061,39 €;0,00 €;80.001,50 €;3.395.647,73 €
2021-07-04;99.287,56 €;24.607,99 €;0,00 €;74.679,57 €;3.470.327,31 €
2021-07-05;77.286,05 €;24.315,69 €;1.200.000,00 €;-1.147.029,65 €;2.323.297,66 €
2021-07-06;66.465,88 €;22.186,17 €;0,00 €;44.279,70 €;2.367.577,36 €
2021-07-07;55.204,25 €;21.044,50 €;0,00 €;34.159,75 €;2.401.737,11 €
2021-07-08;54.054,73 €;24.476,88 €;0,00 €;29.577,85 €;2.431.314,96 €
2021-07-09;78.207,42 €;25.112,99 €;0,00 €;53.094,43 €;2.484.409,39 €
2021-07-10;112.236,66 €;22.427,74 €;0,00 €;89.808,92 €;2.574.218,31 €
2021-07-11;93.204,81 €;24.931,05 €;0,00 €;68.273,76 €;2.642.492,06 €
2021-07-12;61.934,50 €;25.107,51 €;0,00 €;36.827,00 €;2.679.319,06 €
2021-07-13;76.691,55 €;20.687,98 €;0,00 €;56.003,57 €;2.735.322,63 €
2021-07-14;56.143,63 €;23.169,75 €;0,00 €;32.973,88 €;2.768.296,51 €
2021-07-15;57.842,18 €;25.814,53 €;0,00 €;32.027,66 €;2.800.324,17 €
2021-07-16;70.146,61 €;25.774,12 €;0,00 €;44.372,50 €;2.844.696,67 €
2021-07-17;91.053,95 €;22.692,65 €;0,00 €;68.361,30 €;2.913.057,97 €
2021-07-18;94.948,78 €;25.316,90 €;0,00 €;69.631,89 €;2.982.689,85 €
2021-07-19;63.692,46 €;27.044,81 €;0,00 €;36.647,64 €;3.019.337,49 €
2021-07-20;67.700,60 €;26.554,15 €;400.000,00 €;-358.853,55 €;2.660.483,94 €
2021-07-21;76.259,85 €;24.809,43 €;0,00 €;51.450,43 €;2.711.934,37 €
2021-07-22;65.724,68 €;24.064,05 €;0,00 €;41.660,63 €;2.753.595,00 €
2021-07-23;70.151,51 €;23.741,31 €;0,00 €;46.410,20 €;2.800.005,20 €
2021-07-24;74.498,28 €;25.935,64 €;0,00 €;48.562,64 €;2.848.567,84 €
2021-07-25;94.512,82 €;25.390,21 €;0,00 €;69.122,61 €;2.917.690,45 €
2021-07-26;58.254,16 €;26.258,81 €;0,00 €;31.995,35 €;2.949.685,80 €
2021-07-27;55.249,50 €;25.263,75 €;0,00 €;29.985,75 €;2.979.671,55 €
2021-07-28;57.974,78 €;26.637,53 €;350.000,00 €;-318.662,75 €;2.661.008,80 €
2021-07-29;62.327,01 €;25.189,19 €;0,00 €;37.137,83 €;2.698.146,63 €
2021-07-30;72.327,22 €;26.569,38 €;0,00 €;45.757,84 €;2.743.904,47 €
2021-07-31;81.736,07 €;26.741,65 €;0,00 €;54.994,43 €;2.798.898,90 €
2021-08-01;95.306,31 €;23.390,95 €;0,00 €;71.915,37 €;2.870.814,27 €
2021-08-02;61.126,64 €;21.383,71 €;0,00 €;39.742,93 €;2.910.557,20 €
2021-08-03;62.378,62 €;28.086,99 €;0,00 €;34.291,63 €;2.944.848,83 €
2021-08-04;73.022,06 €;25.513,32 €;0,00 €;47.508,75 €;2.992.357,57 €
2021-08-05;69.304,92 €;21.571,03 €;1.200.000,00 €;-1.152.266,10 €;1.840.091,47 €
2021-08-06;75.699,18 €;23.572,36 €;0,00 €;52.126,82 €;1.892.218,29 €
2021-08-07;93.454,94 €;26.543,75 €;0,00 €;66.911,19 €;1.959.129,49 €
2021-08-08;88.040,57 €;24.440,65 €;0,00 €;63.599,93 €;2.022.729,41 €
2021-08-09;63.209,13 €;23.975,88 €;0,00 €;39.233,25 €;2.061.962,67 €
2021-08-10;66.939,97 €;27.801,76 €;0,00 €;39.138,21 €;2.101.100,88 €
2021-08-11;66.412,59 €;22.905,43 €;0,00 €;43.507,16 €;2.144.608,04 €
2021-08-12;56.324,90 €;23.403,69 €;0,00 €;32.921,20 €;2.177.529,24 €
2021-08-13;65.723,92 €;25.422,77 €;0,00 €;40.301,15 €;2.217.830,39 €
2021-08-14;97.282,28 €;25.780,91 €;0,00 €;71.501,37 €;2.289.331,76 €
2021-08-15;120.174,74 €;25.992,69 €;0,00 €;94.182,05 €;2.383.513,81 €
2021-08-16;80.014,76 €;26.822,48 €;0,00 €;53.192,28 €;2.436.706,09 €
2021-08-17;58.174,05 €;25.397,16 €;0,00 €;32.776,90 €;2.469.482,99 €
2021-08-18;62.700,93 €;25.978,77 €;0,00 €;36.722,17 €;2.506.205,16 €
2021-08-19;53.292,46 €;24.481,58 €;0,00 €;28.810,88 €;2.535.016,04 €
2021-08-20;60.274,34 €;25.125,40 €;0,00 €;35.148,95 €;2.570.164,99 €
2021-08-21;98.156,05 €;25.215,07 €;0,00 €;72.940,98 €;2.643.105,97 €
2021-08-22;107.058,54 €;25.430,20 €;0,00 €;81.628,34 €;2.724.734,31 €
2021-08-23;59.167,33 €;26.545,08 €;0,00 €;32.622,25 €;2.757.356,56 €
2021-08-24;59.766,83 €;26.110,29 €;0,00 €;33.656,54 €;2.791.013,09 €
2021-08-25;47.821,69 €;25.088,43 €;0,00 €;22.733,25 €;2.813.746,35 €
2021-08-26;63.698,67 €;23.381,75 €;0,00 €;40.316,92 €;2.854.063,27 €
2021-08-27;56.500,68 €;25.135,34 €;0,00 €;31.365,34 €;2.885.428,61 €
2021-08-28;89.705,61 €;24.943,96 €;350.000,00 €;-285.238,36 €;2.600.190,26 €
2021-08-29;86.231,39 €;25.386,36 €;0,00 €;60.845,03 €;2.661.035,29 €
2021-08-30;64.245,90 €;29.413,05 €;0,00 €;34.832,85 €;2.695.868,13 €
2021-08-31;50.938,17 €;23.952,45 €;0,00 €;26.985,72 €;2.722.853,85 €
2021-09-01;376.647,74 €;15.633,43 €;0,00 €;361.014,30 €;3.083.868,16 €
2021-09-02;556.462,36 €;16.602,69 €;0,00 €;539.859,66 €;3.623.727,82 €
2021-09-03;385.628,87 €;15.147,00 €;0,00 €;370.481,87 €;3.994.209,69 €
2021-09-04;395.160,72 €;18.506,77 €;0,00 €;376.653,95 €;4.370.863,64 €
2021-09-05;541.845,68 €;14.432,94 €;1.200.000,00 €;-672.587,26 €;3.698.276,38 €
2021-09-06;4.452,53 €;15.486,13 €;0,00 €;-11.033,60 €;3.687.242,78 €
2021-09-07;2.414,22 €;13.801,79 €;0,00 €;-11.387,57 €;3.675.855,20 €
2021-09-08;2.815,88 €;14.472,71 €;0,00 €;-11.656,84 €;3.664.198,36 €
2021-09-09;3.170,78 €;15.373,40 €;0,00 €;-12.202,62 €;3.651.995,74 €
2021-09-10;3.864,35 €;16.269,46 €;0,00 €;-12.405,11 €;3.639.590,63 €
2021-09-11;2.506,57 €;15.478,64 €;0,00 €;-12.972,07 €;3.626.618,56 €
2021-09-12;2.877,36 €;16.888,67 €;0,00 €;-14.011,31 €;3.612.607,25 €
2021-09-13;3.388,67 €;14.857,55 €;0,00 €;-11.468,88 €;3.601.138,37 €
2021-09-14;3.217,38 €;14.501,75 €;0,00 €;-11.284,36 €;3.589.854,00 €
2021-09-15;2.811,92 €;19.055,98 €;0,00 €;-16.244,06 €;3.573.609,95 €
2021-09-16;2.933,09 €;15.591,36 €;0,00 €;-12.658,27 €;3.560.951,68 €
2021-09-17;2.312,55 €;13.920,78 €;0,00 €;-11.608,23 €;3.549.343,45 €
2021-09-18;2.880,91 €;13.958,60 €;0,00 €;-11.077,69 €;3.538.265,76 €
2021-09-19;2.866,81 €;13.585,98 €;0,00 €;-10.719,17 €;3.527.546,59 €
2021-09-20;3.116,08 €;16.404,85 €;0,00 €;-13.288,77 €;3.514.257,82 €
2021-09-21;2.722,34 €;14.453,43 €;0,00 €;-11.731,10 €;3.502.526,72 €
2021-09-22;3.235,77 €;15.191,04 €;0,00 €;-11.955,27 €;3.490.571,45 €
2021-09-23;3.506,36 €;14.904,74 €;0,00 €;-11.398,38 €;3.479.173,07 €
2021-09-24;3.077,71 €;16.097,24 €;0,00 €;-13.019,52 €;3.466.153,55 €
2021-09-25;3.175,88 €;13.729,88 €;0,00 €;-10.554,01 €;3.455.599,54 €
2021-09-26;3.026,58 €;13.386,64 €;0,00 €;-10.360,06 €;3.445.239,48 €
2021-09-27;3.000,04 €;15.336,45 €;0,00 €;-12.336,40 €;3.432.903,07 €
2021-09-28;2.639,22 €;15.901,44 €;350.000,00 €;-363.262,22 €;3.069.640,85 €
2021-09-29;3.158,25 €;15.498,80 €;0,00 €;-12.340,55 €;3.057.300,30 €
2021-09-30;2.951,36 €;13.785,82 €;0,00 €;-10.834,46 €;3.046.465,84 €
2021-10-01;554.658,42 €;16.016,23 €;0,00 €;538.642,19 €;3.585.108,03 €
2021-10-02;528.667,75 €;13.884,21 €;0,00 €;514.783,54 €;4.099.891,56 €
2021-10-03;469.292,33 €;14.217,69 €;0,00 €;455.074,64 €;4.554.966,20 €
2021-10-04;411.847,14 €;13.584,07 €;0,00 €;398.263,07 €;4.953.229,27 €
2021-10-05;394.379,43 €;16.951,74 €;1.200.000,00 €;-822.572,31 €;4.130.656,96 €
2021-10-06;3.595,57 €;15.950,13 €;0,00 €;-12.354,56 €;4.118.302,40 €
2021-10-07;3.131,37 €;15.907,49 €;0,00 €;-12.776,12 €;4.105.526,28 €
2021-10-08;3.240,07 €;16.870,82 €;0,00 €;-13.630,75 €;4.091.895,54 €
2021-10-09;2.127,71 €;19.218,97 €;0,00 €;-17.091,27 €;4.074.804,27 €
2021-10-10;3.463,72 €;12.436,16 €;0,00 €;-8.972,44 €;4.065.831,83 €
2021-10-11;3.227,21 €;13.892,44 €;0,00 €;-10.665,22 €;4.055.166,60 €
2021-10-12;2.444,78 €;14.075,74 €;0,00 €;-11.630,95 €;4.043.535,65 €
2021-10-13;2.764,24 €;13.723,77 €;0,00 €;-10.959,53 €;4.032.576,12 €
2021-10-14;3.131,86 €;13.383,63 €;0,00 €;-10.251,77 €;4.022.324,35 €
2021-10-15;3.026,23 €;14.550,52 €;0,00 €;-11.524,29 €;4.010.800,06 €
2021-10-16;2.853,91 €;13.175,09 €;0,00 €;-10.321,18 €;4.000.478,88 €
