Fecha,Ingresos,Gastos,CashFlow,Saldo_Bancario
2024-04-16,3943.09,14303.07,-10359.98,4513267.54
2024-04-17,3087.29,15301.74,-12214.45,4501053.09
2024-04-18,3128.78,15424.93,-12296.16,4488756.93
2024-04-19,2962.78,14611.64,-11648.87,4477108.07
2024-04-20,2040.61,415880.04,-413839.43,4063268.64
2024-04-21,2986.74,14287.64,-11300.9,4051967.74
2024-04-22,3030.12,16306.95,-13276.83,4038690.91
2024-04-23,4231.62,12981.03,-8749.41,4029941.5
2024-04-24,2903.82,15189.57,-12285.75,4017655.75
2024-04-25,3150.77,17908.39,-14757.62,4002898.13
2024-04-26,2982.64,13499.5,-10516.86,3992381.27
2024-04-27,2415.66,13983.38,-11567.72,3980813.55
2024-04-28,3571.41,365770.86,-362199.45,3618614.1
2024-04-29,3375.97,15269.37,-11893.41,3606720.69
2024-04-30,3395.52,15525.95,-12130.43,3594590.26
2024-05-01,404530.63,15733.78,388796.85,3983387.11
2024-05-02,520139.72,15952.08,504187.63,4487574.74
2024-05-03,379907.45,16664.55,363242.9,4850817.64
2024-05-04,479342.85,15614.73,463728.13,5314545.77
2024-05-05,559522.78,1214638.11,-655115.33,4659430.44
2024-05-06,2504.73,16008.86,-13504.13,4645926.31
2024-05-07,2716.85,17849.82,-15132.97,4630793.34
2024-05-08,3049.83,14801.05,-11751.22,4619042.11
2024-05-09,2748.26,13538.21,-10789.94,4608252.17
2024-05-10,2224.67,16660.62,-14435.95,4593816.22
2024-05-11,3034.28,14819.43,-11785.15,4582031.07
2024-05-12,2468.85,11741.0,-9272.15,4572758.92
2024-05-13,3236.8,16271.13,-13034.34,4559724.58
2024-05-14,2540.29,14197.01,-11656.72,4548067.87
2024-05-15,3774.97,14864.2,-11089.23,4536978.63
2024-05-16,2608.37,15497.97,-12889.6,4524089.04
2024-05-17,2838.97,15285.75,-12446.78,4511642.25
2024-05-18,3406.76,16064.18,-12657.42,4498984.84
2024-05-19,2384.57,14346.77,-11962.2,4487022.63
2024-05-20,3113.73,15769.66,-12655.93,4474366.7
2024-05-21,3653.57,14610.68,-10957.11,4463409.6
2024-05-22,2196.26,16108.22,-13911.96,4449497.64
2024-05-23,3092.32,15923.05,-12830.73,4436666.9
2024-05-24,3129.94,13596.84,-10466.9,4426200.0
2024-05-25,3390.91,16628.97,-13238.06,4412961.94
2024-05-26,2381.52,14196.05,-11814.53,4401147.41
2024-05-27,2339.77,16212.09,-13872.32,4387275.1
2024-05-28,3260.97,365550.93,-362289.96,4024985.14
2024-05-29,3148.49,17757.28,-14608.78,4010376.35
2024-05-30,3125.25,14664.8,-11539.55,3998836.8
2024-05-31,3173.22,14476.02,-11302.8,3987534.0
2024-06-01,415998.76,14970.87,401027.89,4388561.89
2024-06-02,461612.68,14545.23,447067.45,4835629.35
2024-06-03,464653.62,16199.91,448453.71,5284083.06
2024-06-04,414282.43,12575.53,401706.9,5685789.95
2024-06-05,543288.73,1213419.48,-670130.75,5015659.2
2024-06-06,3236.92,13398.3,-10161.38,5005497.82
2024-06-07,2404.35,16425.46,-14021.11,4991476.71
2024-06-08,3328.28,17565.92,-14237.64,4977239.07
2024-06-09,2512.66,14843.33,-12330.67,4964908.4
2024-06-10,3393.54,14746.77,-11353.23,4953555.17
2024-06-11,3579.3,15105.08,-11525.78,4942029.39
2024-06-12,2589.66,16742.82,-14153.16,4927876.23
2024-06-13,3481.69,13608.97,-10127.28,4917748.95
2024-06-14,3206.39,15357.55,-12151.16,4905597.79
2024-06-15,3411.03,16462.8,-13051.77,4892546.02
2024-06-16,3948.4,15751.64,-11803.24,4880742.78
2024-06-17,2877.31,15284.37,-12407.07,4868335.71
2024-06-18,2623.13,16501.57,-13878.44,4854457.27
2024-06-19,2555.24,10945.15,-8389.91,4846067.37
2024-06-20,2592.09,16016.81,-13424.72,4832642.65
2024-06-21,2961.45,14018.89,-11057.44,4821585.21
2024-06-22,3170.58,12254.05,-9083.47,4812501.74
2024-06-23,3138.35,15766.8,-12628.46,4799873.28
2024-06-24,3413.59,17060.49,-13646.9,4786226.38
2024-06-25,3006.5,14793.83,-11787.33,4774439.05
2024-06-26,3726.77,16429.31,-12702.54,4761736.51
2024-06-27,2867.67,17418.42,-14550.75,4747185.76
2024-06-28,4360.08,366972.37,-362612.29,4384573.48
2024-06-29,3312.83,17459.95,-14147.11,4370426.36
2024-06-30,2571.42,1016113.19,-1013541.77,3356884.59
2024-07-01,56432.86,26681.29,29751.57,3386636.17
2024-07-02,68859.78,23694.75,45165.03,3431801.19
2024-07-03,63212.3,24107.63,39104.66,3470905.86
2024-07-04,70712.0,21220.92,49491.09,3520396.94
2024-07-05,99732.38,1224095.39,-1124363.01,2396033.93
2024-07-06,94271.71,20152.24,74119.47,2470153.4
2024-07-07,86532.06,21832.19,64699.87,2534853.27
2024-07-08,52881.22,26520.83,26360.39,2561213.66
2024-07-09,61427.88,26571.6,34856.28,2596069.94
2024-07-10,71851.19,25850.92,46000.28,2642070.22
2024-07-11,66712.75,23066.05,43646.7,2685716.92
2024-07-12,82542.61,24904.58,57638.03,2743354.96
2024-07-13,96731.81,24992.79,71739.01,2815093.97
2024-07-14,98853.17,22683.27,76169.9,2891263.87
2024-07-15,57929.14,28006.8,29922.34,2921186.22
2024-07-16,66229.8,26754.72,39475.08,2960661.29
2024-07-17,65465.67,24558.07,40907.6,3001568.89
2024-07-18,55856.24,25053.77,30802.47,3032371.36
2024-07-19,98577.87,25416.77,73161.11,3105532.47
2024-07-20,100607.85,420916.53,-320308.68,2785223.78
2024-07-21,105830.51,24505.65,81324.87,2866548.65
2024-07-22,73430.42,23636.03,49794.38,2916343.03
2024-07-23,53978.65,22996.76,30981.89,2947324.92
2024-07-24,57497.4,24437.8,33059.6,2980384.52
2024-07-25,69120.28,28595.37,40524.91,3020909.43
2024-07-26,100137.86,26281.69,73856.17,3094765.6
2024-07-27,100150.48,23857.64,76292.83,3171058.44
2024-07-28,133527.31,376145.17,-242617.85,2928440.59
2024-07-29,69567.12,27798.71,41768.41,2970209.0
2024-07-30,74084.53,26849.27,47235.26,3017444.26
2024-07-31,72632.01,25119.26,47512.75,3064957.01
2024-08-01,70211.13,23706.13,46505.0,3111462.01
2024-08-02,91847.31,26396.45,65450.86,3176912.87
2024-08-03,102589.69,25786.97,76802.72,3253715.6
2024-08-04,87271.75,26790.39,60481.36,3314196.96
2024-08-05,63105.45,1226270.34,-1163164.89,2151032.06
2024-08-06,61117.09,27099.11,34017.99,2185050.05
2024-08-07,65654.99,23929.53,41725.46,2226775.51
2024-08-08,83517.27,27634.79,55882.48,2282657.99
2024-08-09,76327.35,25395.2,50932.15,2333590.14
2024-08-10,101862.6,29150.52,72712.08,2406302.22
2024-08-11,78872.84,23621.62,55251.22,2461553.44
2024-08-12,61224.55,28471.93,32752.62,2494306.06
2024-08-13,73711.6,25395.82,48315.78,2542621.84
2024-08-14,65514.24,23697.16,41817.08,2584438.92
2024-08-15,56378.04,24032.23,32345.81,2616784.73
2024-08-16,87846.96,24359.31,63487.66,2680272.39
2024-08-17,101795.98,25848.33,75947.65,2756220.03
2024-08-18,87696.33,26045.67,61650.66,2817870.7
2024-08-19,66731.67,23852.6,42879.07,2860749.77
2024-08-20,65364.57,24951.29,40413.28,2901163.05
2024-08-21,59787.2,29284.54,30502.66,2931665.71
2024-08-22,82151.55,28455.09,53696.47,2985362.17
2024-08-23,101339.19,25872.65,75466.54,3060828.71
2024-08-24,74748.57,25076.01,49672.57,3110501.28
2024-08-25,96864.54,25240.06,71624.48,3182125.76
2024-08-26,59705.71,26227.04,33478.67,3215604.43
2024-08-27,71819.47,22954.41,48865.05,3264469.49
2024-08-28,58659.83,374485.25,-315825.41,2948644.07
2024-08-29,64082.11,21662.83,42419.28,2991063.35
2024-08-30,100049.87,25798.45,74251.43,3065314.78
2024-08-31,103657.55,26294.39,77363.16,3142677.94
2024-09-01,389985.18,15252.98,374732.2,3517410.13
2024-09-02,433274.94,15662.91,417612.03,3935022.16
2024-09-03,426252.73,13364.4,412888.33,4347910.49
2024-09-04,417333.54,17116.4,400217.14,4748127.63
2024-09-05,538272.71,1214852.12,-676579.41,4071548.23
2024-09-06,3202.49,15028.27,-11825.78,4059722.45
2024-09-07,2369.56,16062.32,-13692.76,4046029.68
2024-09-08,3458.93,15349.82,-11890.89,4034138.79
2024-09-09,4061.08,16429.7,-12368.63,4021770.16
2024-09-10,3516.23,15430.69,-11914.45,4009855.71
2024-09-11,2240.32,14081.34,-11841.03,3998014.68
2024-09-12,2757.88,15542.26,-12784.37,3985230.31
2024-09-13,3633.46,13284.41,-9650.96,3975579.35
2024-09-14,2646.17,15162.84,-12516.67,3963062.68
2024-09-15,3221.91,14950.16,-11728.25,3951334.43
2024-09-16,3387.32,14687.82,-11300.51,3940033.92
2024-09-17,2536.53,14807.19,-12270.66,3927763.27
2024-09-18,2970.24,12177.23,-9206.99,3918556.28
2024-09-19,1379.37,14176.91,-12797.55,3905758.73
2024-09-20,2487.81,15139.27,-12651.46,3893107.27
2024-09-21,2873.72,15239.78,-12366.07,3880741.2
2024-09-22,2376.11,13458.49,-11082.38,3869658.82
2024-09-23,3816.21,16898.56,-13082.36,3856576.47
2024-09-24,2284.93,13700.74,-11415.81,3845160.66
2024-09-25,2779.98,16454.19,-13674.21,3831486.45
2024-09-26,3065.37,15640.79,-12575.42,3818911.03
2024-09-27,3720.64,14030.66,-10310.02,3808601.01
2024-09-28,2282.07,367662.97,-365380.9,3443220.11
2024-09-29,3581.58,13209.54,-9627.96,3433592.14
2024-09-30,3005.12,16378.73,-13373.61,3420218.53
2024-10-01,400924.57,16500.87,384423.69,3804642.22
2024-10-02,473105.17,13994.07,459111.1,4263753.33
2024-10-03,459952.98,17088.7,442864.29,4706617.61
2024-10-04,419989.16,14624.93,405364.23,5111981.84
2024-10-05,453490.1,1215433.04,-761942.94,4350038.9
2024-10-06,2807.34,15390.48,-12583.14,4337455.77
2024-10-07,3056.76,14798.54,-11741.78,4325713.99
2024-10-08,3331.07,16216.21,-12885.15,4312828.84
2024-10-09,3793.01,16190.23,-12397.22,4300431.62
2024-10-10,2381.09,12377.2,-9996.11,4290435.51
2024-10-11,4066.52,16956.51,-12889.99,4277545.51
2024-10-12,2023.96,12506.26,-10482.31,4267063.21
2024-10-13,2924.11,16548.82,-13624.71,4253438.49
2024-10-14,3294.16,16690.06,-13395.9,4240042.59
2024-10-15,3140.5,13363.55,-10223.05,4229819.54
2024-10-16,2688.65,14383.78,-11695.13,4218124.41
2024-10-17,2895.94,13341.44,-10445.5,4207678.91
2024-10-18,2753.5,14677.62,-11924.12,4195754.79
2024-10-19,2705.32,14537.95,-11832.63,4183922.16
2024-10-20,3424.8,416169.49,-412744.69,3771177.47
2024-10-21,3178.51,16965.46,-13786.96,3757390.51
2024-10-22,2653.55,17093.53,-14439.98,3742950.53
2024-10-23,3449.8,14156.75,-10706.95,3732243.58
2024-10-24,3153.65,14686.17,-11532.52,3720711.07
2024-10-25,3406.43,12474.84,-9068.41,3711642.66
2024-10-26,3314.81,13791.19,-10476.38,3701166.27
2024-10-27,2585.5,16447.28,-13861.77,3687304.5
2024-10-28,2719.91,367423.37,-364703.46,3322601.04
2024-10-29,3373.65,13148.48,-9774.83,3312826.21
2024-10-30,3305.19,14111.3,-10806.12,3302020.09
2024-10-31,2989.55,14960.39,-11970.84,3290049.24
2024-11-01,455866.37,15420.24,440446.13,3730495.37
2024-11-02,513883.24,13785.59,500097.65,4230593.02
2024-11-03,420421.43,15636.09,404785.34,4635378.36
2024-11-04,477354.87,14289.24,463065.63,5098443.99
2024-11-05,439890.37,1214978.32,-775087.95,4323356.03
2024-11-06,2891.16,15819.43,-12928.27,4310427.77
2024-11-07,3549.39,15009.63,-11460.24,4298967.52
2024-11-08,3412.71,14345.42,-10932.71,4288034.81
2024-11-09,3406.75,14835.59,-11428.83,4276605.98
2024-11-10,3652.74,14867.46,-11214.72,4265391.26
2024-11-11,3010.5,14444.98,-11434.48,4253956.78
2024-11-12,3340.98,14611.81,-11270.83,4242685.95
2024-11-13,2844.87,17397.97,-14553.1,4228132.85
2024-11-14,3162.08,15841.38,-12679.3,4215453.55
2024-11-15,2934.93,14556.78,-11621.85,4203831.7
2024-11-16,3048.5,16045.43,-12996.93,4190834.77
2024-11-17,3297.58,14499.27,-11201.69,4179633.08
2024-11-18,2590.89,16759.69,-14168.8,4165464.28
2024-11-19,4046.19,15554.46,-11508.27,4153956.01
2024-11-20,2496.99,14839.05,-12342.06,4141613.95
2024-11-21,2392.91,15671.58,-13278.67,4128335.28
2024-11-22,3579.06,12643.69,-9064.63,4119270.65
2024-11-23,3395.83,13309.85,-9914.02,4109356.64
2024-11-24,3312.06,13209.11,-9897.05,4099459.58
2024-11-25,3314.17,15214.41,-11900.24,4087559.34
2024-11-26,2993.88,17598.77,-14604.9,4072954.45
2024-11-27,2551.37,18346.95,-15795.58,4057158.87
2024-11-28,3037.9,365957.08,-362919.17,3694239.69
2024-11-29,2661.42,15751.27,-13089.85,3681149.85
2024-11-30,3487.56,12298.41,-8810.85,3672338.99
2024-12-01,442647.13,14185.99,428461.14,4100800.13
2024-12-02,408725.14,13818.32,394906.82,4495706.95
2024-12-03,433930.71,14068.73,419861.98,4915568.93
2024-12-04,470646.57,14747.78,455898.79,5371467.72
2024-12-05,421813.77,1214291.86,-792478.09,4578989.63
2024-12-06,2588.89,12031.05,-9442.16,4569547.47
2024-12-07,3121.84,16121.87,-13000.02,4556547.44
2024-12-08,3122.48,13390.89,-10268.4,4546279.04
2024-12-09,2746.53,15358.87,-12612.34,4533666.7
2024-12-10,2764.48,18111.12,-15346.64,4518320.06
2024-12-11,3116.02,13620.92,-10504.9,4507815.16
2024-12-12,2275.96,11204.57,-8928.61,4498886.55
2024-12-13,2296.27,14570.99,-12274.73,4486611.82
2024-12-14,2640.78,16651.44,-14010.66,4472601.16
2024-12-15,2893.28,17937.52,-15044.24,4457556.92
2024-12-16,3155.45,13155.68,-10000.22,4447556.69
2024-12-17,3737.68,15745.05,-12007.37,4435549.32
2024-12-18,3428.83,14302.03,-10873.2,4424676.12
2024-12-19,2920.03,14841.08,-11921.05,4412755.07
2024-12-20,2990.49,18966.52,-15976.02,4396779.05
2024-12-21,2498.74,12745.54,-10246.81,4386532.24
2024-12-22,2990.74,15380.61,-12389.87,4374142.37
2024-12-23,2855.67,15701.54,-12845.87,4361296.5
2024-12-24,3161.36,16628.68,-13467.32,4347829.18
2024-12-25,2586.38,15146.97,-12560.59,4335268.59
2024-12-26,3259.67,15462.08,-12202.4,4323066.19
2024-12-27,3766.37,14412.53,-10646.16,4312420.03
2024-12-28,2945.62,365403.69,-362458.07,3949961.96
2024-12-29,3200.86,14485.21,-11284.36,3938677.61
2024-12-30,3345.07,15932.36,-12587.29,3926090.32
2024-12-31,2799.39,14445.58,-11646.19,3914444.13
2025-01-01,461204.62,15565.65,445638.97,4360083.1
2025-01-02,450629.62,14956.11,435673.51,4795756.61
2025-01-03,454883.8,16689.08,438194.73,5233951.34
2025-01-04,411349.51,14922.91,396426.6,5630377.95
2025-01-05,451225.51,1212340.45,-761114.94,4869263.0
2025-01-06,3249.0,16892.88,-13643.88,4855619.12
2025-01-07,3725.57,13641.4,-9915.83,4845703.29
2025-01-08,3479.64,14019.35,-10539.72,4835163.57
2025-01-09,4076.59,14106.51,-10029.92,4825133.66
2025-01-10,2616.33,17061.66,-14445.33,4810688.33
2025-01-11,3436.16,11796.49,-8360.33,4802328.0
2025-01-12,3091.67,19706.62,-16614.95,4785713.05
2025-01-13,4094.9,16584.09,-12489.18,4773223.86
2025-01-14,2595.85,15334.86,-12739.01,4760484.86
2025-01-15,2580.14,14917.66,-12337.52,4748147.34
2025-01-16,2700.3,15428.33,-12728.03,4735419.31
2025-01-17,1938.05,15781.68,-13843.63,4721575.68
2025-01-18,2737.12,15967.82,-13230.7,4708344.98
2025-01-19,2620.43,15833.41,-13212.97,4695132.0
2025-01-20,3075.2,415134.37,-412059.17,4283072.83
2025-01-21,3170.88,14703.99,-11533.11,4271539.71
2025-01-22,3938.09,14773.09,-10835.0,4260704.71
2025-01-23,3475.21,14707.64,-11232.43,4249472.28
2025-01-24,2711.55,16700.66,-13989.11,4235483.18
2025-01-25,2550.79,15890.34,-13339.54,4222143.63
2025-01-26,3245.96,10589.42,-7343.46,4214800.18
2025-01-27,2339.88,15983.85,-13643.97,4201156.21
2025-01-28,3915.73,365292.1,-361376.37,3839779.83
2025-01-29,3589.72,14971.94,-11382.22,3828397.62
2025-01-30,2765.41,14417.22,-11651.81,3816745.81
2025-01-31,2143.43,16686.17,-14542.74,3802203.07
2025-02-01,517693.62,16421.29,501272.33,4303475.4
2025-02-02,444273.01,13840.68,430432.32,4733907.72
2025-02-03,511890.82,15610.58,496280.24,5230187.96
2025-02-04,370278.62,13542.51,356736.1,5586924.06
2025-02-05,420031.25,1212930.57,-792899.32,4794024.74
2025-02-06,3002.62,14059.92,-11057.3,4782967.44
2025-02-07,3023.49,16293.59,-13270.1,4769697.34
2025-02-08,2774.97,16429.69,-13654.72,4756042.62
2025-02-09,3311.42,15769.63,-12458.2,4743584.41
2025-02-10,2466.19,16087.64,-13621.45,4729962.96
2025-02-11,2928.81,15774.27,-12845.46,4717117.5
2025-02-12,3060.15,14037.78,-10977.63,4706139.87
2025-02-13,3257.22,15647.88,-12390.66,4693749.21
2025-02-14,3355.81,16200.61,-12844.81,4680904.4
2025-02-15,2437.68,16131.44,-13693.76,4667210.64
2025-02-16,2232.94,16783.37,-14550.43,4652660.22
2025-02-17,3638.84,16062.46,-12423.62,4640236.6
2025-02-18,3166.16,15527.17,-12361.02,4627875.58
2025-02-19,2625.76,16605.23,-13979.47,4613896.12
2025-02-20,3775.58,14960.22,-11184.64,4602711.47
2025-02-21,3057.84,13677.19,-10619.35,4592092.12
2025-02-22,3589.65,14755.4,-11165.75,4580926.37
2025-02-23,3033.76,13882.65,-10848.89,4570077.48
2025-02-24,4030.37,13987.23,-9956.86,4560120.63
2025-02-25,3877.67,14783.22,-10905.55,4549215.07
2025-02-26,2875.52,13811.37,-10935.85,4538279.22
2025-02-27,3485.79,14538.06,-11052.27,4527226.95
2025-02-28,3322.69,362159.58,-358836.89,4168390.06
2025-03-01,518431.58,15319.94,503111.64,4671501.7
2025-03-02,401753.83,15001.81,386752.02,5058253.72
2025-03-03,484302.57,13774.37,470528.21,5528781.92
2025-03-04,502921.22,15988.87,486932.36,6015714.28
2025-03-05,362063.03,1216406.36,-854343.33,5161370.95
2025-03-06,2408.37,12588.66,-10180.29,5151190.66
2025-03-07,1980.38,13855.91,-11875.53,5139315.13
2025-03-08,2865.3,13846.29,-10980.99,5128334.14
2025-03-09,3358.77,13590.15,-10231.37,5118102.77
2025-03-10,3751.18,16244.21,-12493.03,5105609.73
2025-03-11,3037.05,14709.26,-11672.21,5093937.52
2025-03-12,3814.31,14603.23,-10788.92,5083148.6
2025-03-13,2309.95,11994.21,-9684.26,5073464.34
2025-03-14,2148.31,15953.13,-13804.82,5059659.52
2025-03-15,2972.23,13141.11,-10168.89,5049490.64
2025-03-16,3192.03,15089.9,-11897.87,5037592.77
2025-03-17,2983.65,15416.07,-12432.41,5025160.36
2025-03-18,1966.28,17040.99,-15074.71,5010085.65
2025-03-19,2955.44,13036.77,-10081.33,5000004.32
2025-03-20,2347.77,10470.73,-8122.97,4991881.35
2025-03-21,3334.84,15275.77,-11940.94,4979940.42
2025-03-22,3183.3,17700.77,-14517.47,4965422.95
2025-03-23,2530.06,16858.42,-14328.36,4951094.59
2025-03-24,2743.07,15314.49,-12571.42,4938523.17
2025-03-25,2470.39,14262.55,-11792.15,4926731.01
2025-03-26,2968.66,16210.68,-13242.02,4913488.99
2025-03-27,3477.57,13539.68,-10062.11,4903426.88
2025-03-28,2507.14,365714.54,-363207.4,4540219.48
2025-03-29,3252.02,15758.21,-12506.18,4527713.3
2025-03-30,2734.87,16590.31,-13855.44,4513857.85
2025-03-31,2603.56,19139.49,-16535.93,4497321.93
2025-04-01,444648.48,15588.62,429059.86,4926381.79
2025-04-02,398237.88,14236.55,384001.33,5310383.12
2025-04-03,422317.53,14961.64,407355.9,5717739.01
2025-04-04,390106.11,12346.39,377759.72,6095498.73
2025-04-05,548236.26,1213957.93,-665721.67,5429777.06
2025-04-06,3017.63,14386.08,-11368.44,5418408.61
2025-04-07,2650.14,14213.87,-11563.73,5406844.88
2025-04-08,3106.99,15228.53,-12121.54,5394723.34
2025-04-09,2943.84,13766.37,-10822.53,5383900.81
2025-04-10,2889.52,16681.55,-13792.03,5370108.78
2025-04-11,3307.08,15000.31,-11693.23,5358415.55
2025-04-12,3378.75,14986.05,-11607.3,5346808.25
2025-04-13,2734.75,14508.16,-11773.41,5335034.84
2025-04-14,2712.09,15232.79,-12520.7,5322514.15
2025-04-15,2862.47,16237.65,-13375.17,5309138.98
2025-04-16,1849.04,13699.3,-11850.27,5297288.71
2025-04-17,2242.4,14012.83,-11770.42,5285518.29
2025-04-18,3683.44,14544.41,-10860.97,5274657.32
2025-04-19,3822.48,12981.19,-9158.71,5265498.61
2025-04-20,2875.48,413771.11,-410895.63,4854602.97
2025-04-21,3288.28,14285.67,-10997.39,4843605.58
2025-04-22,3155.63,16311.58,-13155.96,4830449.63
2025-04-23,4539.44,15393.84,-10854.4,4819595.22
2025-04-24,3559.79,15290.38,-11730.6,4807864.63
2025-04-25,2936.04,16276.35,-13340.31,4794524.32
2025-04-26,2522.23,14793.94,-12271.71,4782252.61
2025-04-27,2196.78,15585.7,-13388.92,4768863.69
